z [m],qc [MPa],fs [MPa],u2 [MPa],ID,Location ID,Blowcount [Blows/m],Normalised ENTRHU [-],Normalised hammer energy [-],Number of blows,Diameter [m],Bottom wall thickness [mm],Pile penetration [m]
0.5,5.1504,0.0312,0.0064,EK__0_5,EK,,,,,2.48,50.0,31.0
1.0,11.681,0.0827,0.0154,EK__1_0,EK,,,,,2.48,50.0,31.0
1.5,11.1076,0.1013,0.0191,EK__1_5,EK,,,,,2.48,50.0,31.0
2.0,10.4497,0.127,0.0302,EK__2_0,EK,,,,,2.48,50.0,31.0
2.5,10.5857619047619,0.1135880952380952,-0.1162416666666667,EK__2_5,EK,,,,,2.48,50.0,31.0
3.0,19.40980952380953,0.1882904761904762,-0.02478333333333332,EK__3_0,EK,,,,,2.48,50.0,31.0
3.5,29.7187,0.2842,0.03915,EK__3_5,EK,,,,,2.48,50.0,31.0
4.0,30.7355,0.2936,0.04665,EK__4_0,EK,4.0,0.108125,0.1441666666666667,5.0,2.48,50.0,31.0
4.5,30.56,0.2997,0.05415,EK__4_5,EK,6.0,0.1114041666666667,0.1485416666666667,9.5,2.48,50.0,31.0
5.0,28.8433,0.2636,0.05385,EK__5_0,EK,8.0,0.1146833333333333,0.1529166666666667,14.0,2.48,50.0,31.0
5.5,28.2243,0.2689,0.06035,EK__5_5,EK,18.0,0.1149666666666667,0.1532916666666667,24.0,2.48,50.0,31.0
6.0,31.41603333333333,0.2355333333333333,0.06373333333333334,EK__6_0,EK,28.0,0.11525,0.1536666666666667,34.0,2.48,50.0,31.0
6.5,27.5044,0.2402,0.07869999999999999,EK__6_5,EK,32.0,0.1223125,0.1630833333333334,51.0,2.48,50.0,31.0
7.0,27.1576,0.2381,0.0864,EK__7_0,EK,36.0,0.129375,0.1725,68.0,2.48,50.0,31.0
7.5,27.775,0.2428,0.0914,EK__7_5,EK,34.0,0.1420291666666667,0.189375,83.0,2.48,50.0,31.0
8.0,25.6258,0.2495,0.1084,EK__8_0,EK,32.0,0.1546833333333333,0.20625,98.0,2.48,50.0,31.0
8.5,24.0875,0.2357,0.1026,EK__8_5,EK,32.0,0.1738416666666667,0.2317916666666667,112.5,2.48,50.0,31.0
9.0,26.922994,0.258358,0.1033935,EK__9_0,EK,32.0,0.193,0.2573333333333334,127.0,2.48,50.0,31.0
9.5,26.477144,0.222408,0.09393100000000001,EK__9_5,EK,26.0,0.2106875,0.2809166666666667,138.0,2.48,50.0,31.0
10.0,28.0096,0.2506,0.091475,EK__10_0,EK,20.0,0.228375,0.3045,149.0,2.48,50.0,31.0
10.5,29.6673,0.2659,0.100675,EK__10_5,EK,24.0,0.2335625,0.3114166666666667,162.0,2.48,50.0,31.0
11.0,29.1433,0.2525,0.101175,EK__11_0,EK,28.0,0.23875,0.3183333333333334,175.0,2.48,50.0,31.0
11.5,31.4251,0.2771,0.104375,EK__11_5,EK,36.0,0.2374375,0.3165833333333334,197.0,2.48,50.0,31.0
12.0,42.347,0.3652,0.106675,EK__12_0,EK,44.0,0.236125,0.3148333333333334,219.0,2.48,50.0,31.0
12.5,45.493828,0.3676480000000001,0.107681,EK__12_5,EK,60.0,0.2557208333333333,0.3409583333333334,252.5,2.48,50.0,31.0
13.0,44.031,0.2804,0.117325,EK__13_0,EK,76.0,0.2753166666666667,0.3670833333333333,286.0,2.48,50.0,31.0
13.5,33.5392,0.1972,0.123025,EK__13_5,EK,80.0,0.3030958333333333,0.404125,330.0,2.48,50.0,31.0
14.0,16.6663,0.1533,0.122825,EK__14_0,EK,84.0,0.330875,0.4411666666666667,374.0,2.48,50.0,31.0
14.5,9.7041,0.1141,0.130525,EK__14_5,EK,90.0,0.34225,0.4563333333333334,421.5,2.48,50.0,31.0
15.0,29.6587,0.2206,0.133925,EK__15_0,EK,96.0,0.353625,0.4715,469.0,2.48,50.0,31.0
15.5,34.41329200000001,0.238416,0.138291,EK__15_5,EK,90.0,0.381125,0.5081666666666667,513.5,2.48,50.0,31.0
16.0,22.3959,0.2158,0.140275,EK__16_0,EK,84.0,0.408625,0.5448333333333333,558.0,2.48,50.0,31.0
16.5,7.0497,0.1683,0.103475,EK__16_5,EK,88.0,0.4131583333333333,0.550875,602.0,2.48,50.0,31.0
17.0,25.8212,0.2195,0.04637500000000001,EK__17_0,EK,92.0,0.4176916666666667,0.5569166666666666,646.0,2.48,50.0,31.0
17.5,20.4271,0.224,-0.06962499999999999,EK__17_5,EK,88.0,0.42125,0.5616666666666666,687.0,2.48,50.0,31.0
18.0,21.5396,0.2884,0.07027500000000002,EK__18_0,EK,84.0,0.4248083333333333,0.5664166666666667,728.0,2.48,50.0,31.0
18.5,38.366,0.4415666666666667,0.09599166666666667,EK__18_5,EK,82.0,0.4331208333333333,0.5775,769.5,2.48,50.0,31.0
19.0,42.2042,0.5185,0.149425,EK__19_0,EK,80.0,0.4414333333333333,0.5885833333333333,811.0,2.48,50.0,31.0
19.5,25.7707,0.3785,0.144725,EK__19_5,EK,84.0,0.4456541666666667,0.5942083333333333,853.0,2.48,50.0,31.0
20.0,24.5497,0.2716,0.109025,EK__20_0,EK,88.0,0.449875,0.5998333333333333,895.0,2.48,50.0,31.0
20.5,27.6358,0.279,-0.154375,EK__20_5,EK,80.0,0.447875,0.5971666666666666,928.0,2.48,50.0,31.0
21.0,29.6488,0.373,0.157625,EK__21_0,EK,72.0,0.445875,0.5945,961.0,2.48,50.0,31.0
21.5,29.362408,0.362568,0.181037,EK__21_5,EK,70.0,0.4447208333333333,0.5929583333333334,998.0,2.48,50.0,31.0
22.0,30.77104133333333,0.3705346666666667,0.190237,EK__22_0,EK,68.0,0.4435666666666667,0.5914166666666667,1035.0,2.48,50.0,31.0
22.5,32.17967466666667,0.3785013333333334,0.199437,EK__22_5,EK,70.0,0.449875,0.5998333333333333,1072.0,2.48,50.0,31.0
23.0,34.6297,0.4392,0.200525,EK__23_0,EK,72.0,0.4561833333333333,0.60825,1109.0,2.48,50.0,31.0
23.5,32.3491,0.4046,0.212725,EK__23_5,EK,74.0,0.4527791666666666,0.6037083333333333,1147.5,2.48,50.0,31.0
24.0,28.9638,0.3913,0.191725,EK__24_0,EK,76.0,0.449375,0.5991666666666666,1186.0,2.48,50.0,31.0
24.5,22.977,0.3166,0.165725,EK__24_5,EK,74.0,0.451,0.6013333333333333,1225.0,2.48,50.0,31.0
25.0,21.7444,0.2807,0.225025,EK__25_0,EK,72.0,0.452625,0.6035,1264.0,2.48,50.0,31.0
25.5,23.23762307692308,0.2942769230769231,0.2314903846153846,EK__25_5,EK,76.0,0.4570625,0.6094166666666667,1304.0,2.48,50.0,31.0
26.0,27.8357,0.3416,0.238375,EK__26_0,EK,80.0,0.4615,0.6153333333333333,1344.0,2.48,50.0,31.0
26.5,33.0486,0.4349,0.242475,EK__26_5,EK,82.0,0.4645916666666666,0.6194583333333332,1385.5,2.48,50.0,31.0
27.0,32.1517,0.4384,0.242775,EK__27_0,EK,84.0,0.4676833333333333,0.6235833333333333,1427.0,2.48,50.0,31.0
27.5,41.9761,0.4703,0.250275,EK__27_5,EK,84.0,0.4814666666666667,0.6419583333333333,1470.0,2.48,50.0,31.0
28.0,41.1545,0.6027,0.251075,EK__28_0,EK,84.0,0.49525,0.6603333333333333,1513.0,2.48,50.0,31.0
28.5,31.00456,0.414588,0.263481,EK__28_5,EK,86.0,0.4922208333333333,0.6562916666666667,1556.5,2.48,50.0,31.0
29.0,48.9168,0.5254,0.253925,EK__29_0,EK,88.0,0.4891916666666666,0.65225,1600.0,2.48,50.0,31.0
29.5,53.07168163265306,0.7695081632653061,0.2748380612244898,EK__29_5,EK,92.0,0.4953125,0.6604166666666667,1647.5,2.48,50.0,31.0
30.0,71.71943673469387,0.8032836734693878,0.2967538775510204,EK__30_0,EK,96.0,0.5014333333333334,0.6685833333333333,1695.0,2.48,50.0,31.0
30.5,74.6972,0.7266,0.312625,EK__30_5,EK,,,,,2.48,50.0,31.0
31.0,71.1027,0.7892,0.31775,EK__31_0,EK,,,,,2.48,50.0,31.0
31.5,71.5561,0.8233333333333334,0.322875,EK__31_5,EK,,,,,,,
32.0,61.9935,0.839,0.328,EK__32_0,EK,,,,,,,
32.5,88.66573703703708,0.9320518518518518,0.333125,EK__32_5,EK,,,,,,,
33.0,71.1125,0.7239,0.33825,EK__33_0,EK,,,,,,,
33.5,73.9782,0.8763,0.343375,EK__33_5,EK,,,,,,,
34.0,83.52790000000009,1.009766666666667,0.3485,EK__34_0,EK,,,,,,,
34.5,66.5737,0.8596,0.353625,EK__34_5,EK,,,,,,,
35.0,68.3659,0.9051,0.35875,EK__35_0,EK,,,,,,,
35.5,64.625748,0.8743320000000001,0.363875,EK__35_5,EK,,,,,,,
36.0,64.5436,0.8445,0.369,EK__36_0,EK,,,,,,,
36.5,37.1605,0.7204,0.374125,EK__36_5,EK,,,,,,,
37.0,64.81966666666665,0.7996000000000003,0.37925,EK__37_0,EK,,,,,,,
37.5,65.0593,0.722,0.384375,EK__37_5,EK,,,,,,,
38.0,68.2308,0.6528,0.3895,EK__38_0,EK,,,,,,,
38.5,78.55290400000001,0.8488360000000003,0.394625,EK__38_5,EK,,,,,,,
39.0,69.1674,0.7634,0.39975,EK__39_0,EK,,,,,,,
39.5,68.7791,0.8078,0.404875,EK__39_5,EK,,,,,,,
0.5,0.6084090909090909,-0.003936363636363636,0.01498181818181818,DE__0_5,DE,,,,,2.48,50.0,30.0
1.0,4.370536363636364,0.01526363636363636,0.01718181818181818,DE__1_0,DE,,,,,2.48,50.0,30.0
1.5,8.2079,0.0566,0.024,DE__1_5,DE,,,,,2.48,50.0,30.0
2.0,10.8656,0.0738,0.029,DE__2_0,DE,,,,,2.48,50.0,30.0
2.5,14.44511,0.09086,0.0366,DE__2_5,DE,,,,,2.48,50.0,30.0
3.0,15.06646065573771,0.1099786885245902,0.04283114754098361,DE__3_0,DE,,,,,2.48,50.0,30.0
3.5,11.89726363636364,0.05823636363636366,0.04016818181818183,DE__3_5,DE,,,,,2.48,50.0,30.0
4.0,16.08314,0.10108,0.04893000000000002,DE__4_0,DE,8.0,0.090625,0.1208333333333333,18.0,2.48,50.0,30.0
4.5,13.88093999999999,0.10078,0.05579000000000001,DE__4_5,DE,6.0,0.090625,0.1208333333333333,19.5,2.48,50.0,30.0
5.0,17.89286,0.12414,0.06160999999999998,DE__5_0,DE,4.0,0.090625,0.1208333333333333,21.0,2.48,50.0,30.0
5.5,18.01523333333333,0.1438333333333333,0.06781666666666666,DE__5_5,DE,4.0,0.112265625,0.1496875,21.875,2.48,50.0,30.0
6.0,17.6158900140647,0.1352770745428973,0.07358600562587904,DE__6_0,DE,4.0,0.13390625,0.1785416666666667,22.75,2.48,50.0,30.0
6.5,18.53860450070324,0.1106638537271449,0.07267180028129396,DE__6_5,DE,14.0,0.1129822916666667,0.1506458333333334,28.375,2.48,50.0,30.0
7.0,19.46131898734177,0.0860506329113924,0.07175759493670886,DE__7_0,DE,24.0,0.09205833333333334,0.12275,34.0,2.48,50.0,30.0
7.5,26.51514444444445,0.1208333333333334,0.07292777777777781,DE__7_5,DE,42.0,0.1018125,0.13575,50.5,2.48,50.0,30.0
8.0,34.16952,0.2011200000000001,0.07982000000000002,DE__8_0,DE,60.0,0.1115666666666667,0.14875,67.0,2.48,50.0,30.0
8.5,36.60646000000001,0.2319899999999999,0.08505000000000001,DE__8_5,DE,72.0,0.1163791666666667,0.1551666666666666,106.5,2.48,50.0,30.0
9.0,34.36162727272727,0.1565909090909091,0.09340454545454548,DE__9_0,DE,84.0,0.1211916666666667,0.1615833333333333,146.0,2.48,50.0,30.0
9.5,36.29371111111111,0.1348555555555553,0.09915000000000002,DE__9_5,DE,62.0,0.1275,0.17,167.5,2.48,50.0,30.0
10.0,41.09509621451105,0.1877429022082019,0.1046272870662461,DE__10_0,DE,40.0,0.1338083333333333,0.1784166666666667,189.0,2.48,50.0,30.0
10.5,16.73178000000001,0.6175599999999981,0.1019399999999999,DE__10_5,DE,46.0,0.1491541666666666,0.198875,213.5,2.48,50.0,30.0
11.0,13.06015,0.10997,0.07402999999999985,DE__11_0,DE,52.0,0.1645,0.2193333333333333,238.0,2.48,50.0,30.0
11.5,7.510950000000017,0.1412399999999998,0.1086500000000005,DE__11_5,DE,54.0,0.1710291666666666,0.2280416666666666,248.5,2.48,50.0,30.0
12.0,16.3174,0.1225,-0.07409999999999999,DE__12_0,DE,56.0,0.1775583333333333,0.23675,259.0,2.48,50.0,30.0
12.5,5.803572727272732,0.1293727272727274,-0.1038818181818182,DE__12_5,DE,82.0,0.1703416666666666,0.227125,289.5,2.48,50.0,30.0
13.0,21.16022080894092,0.08767205960617351,-0.09070395156998412,DE__13_0,DE,108.0,0.163125,0.2175,320.0,2.48,50.0,30.0
13.5,23.40143954230973,0.07913028206492816,-0.02576914582224595,DE__13_5,DE,108.0,0.1819041666666666,0.2425416666666667,378.0,2.48,50.0,30.0
14.0,25.64265827567855,0.07058850452368282,0.03916565992549223,DE__14_0,DE,108.0,0.2006833333333333,0.2675833333333333,436.0,2.48,50.0,30.0
14.5,27.88387700904736,0.06204672698243748,0.1041004656732304,DE__14_5,DE,102.0,0.236125,0.3148333333333333,488.0,2.48,50.0,30.0
15.0,34.51244999999999,0.2827749999999994,0.1382,DE__15_0,DE,96.0,0.2715666666666667,0.3620833333333333,540.0,2.48,50.0,30.0
15.5,40.38927142857143,0.4043,0.1465821428571428,DE__15_5,DE,96.0,0.2888125,0.3850833333333333,585.0,2.48,50.0,30.0
